;name;SKU;price;department;sector
0;Sandália Infantil Grendene Kids Barbie Candy Bag Rosa Claro ;100511171;39.99;moda;calçados-infantis
1;Tênis Molekinho Suécia Tecido Azul ;1002402355;39.99;moda;calçados-infantis
2;Sandália Infantil Grendene Kids Maria Clara e JP Rosa ;100511339;29.99;moda;calçados-infantis
3;Galocha Infantil Innpro Kids Rosa Bota Impermeável Menina ;1002372266;49.90;moda;calçados-infantis
4;Bota Infantil Streetcal Cano Baixo Preto ;1002363244;39.99;moda;calçados-infantis
5;Sandália Infantil Grendene Kids Barbie Spa Rosa/Rosa 20197 ;100510930;49.99;moda;calçados-infantis
6;Sandália Infantil Patrulha Canina Little Paw Azul ;1002499345;29.99;moda;calçados-infantis
7;Tênis Linda Jú Oncinha Rosa ;1002373222;39.99;moda;calçados-infantis
8;CHINELO SLIDE TIRAS IPANEMA INFANTIL SOLAR ;1002691886;38.88;moda;calçados-infantis
9;CHINELO SLIDE TIRAS IPANEMA INFANTIL SOLAR ;1002691860;38.88;moda;calçados-infantis
10;Chinelo de Dedo Infantil Menina Ipanema Glitter ;1002691851;42.01;moda;calçados-infantis
11;CHINELO HAVAIANAS TOP ;1002661745;;moda;calçados-infantis
12;Chinelo Feminino Havaianas Slim Lisa Varias Cores ;1002661732;;moda;calçados-infantis
13;Meia Infantil 3/4 Bebê Colorida Listrada Vitamina ;1002260706;22.90;moda;calçados-infantis
14;Tênis Pimpolho Escolar Cinza ;1002327793;;moda;calçados-infantis
15;Tênis Pimpolho Escolar Bege ;1002327838;;moda;calçados-infantis
16;Tênis Kidy Free Jogging Borracha,Sintético,Verniz Preto ;1002363107;39.99;moda;calçados-infantis
17;Sandália Infantil Primeiros Passos Unissex Trem Mundi Bita Grendene Kids Rosa/Rosa 20819 ;100541579;29.99;moda;calçados-infantis
18;Sandália Aranha Infantil Menino Mundo Bita Space Baby Grendene Kids Azul ;1002728313;49.90;moda;calçados-infantis
19;Bota Infantil Nathiely Coração Nude ;1002357818;39.99;moda;calçados-infantis
20;Sandália Aranha Infantil Menina Mundo Bita Space Baby Grendene Kids Rosa ;1002728301;49.90;moda;calçados-infantis
21;Sandália Infantil Grendene Kids Patrulha Canina Little Paw Rosa ;1002499176;29.99;moda;calçados-infantis
22;Sandália Infantil Molekinha Premium Dourado ;1002613829;49.99;moda;calçados-infantis
23;Sandália Infantil Molekinha Premium Ouro ;1002613761;49.99;moda;calçados-infantis
24;Chinelo Infantil Havaianas Logomania Baby Amarelo ;1002104006;19.99;moda;calçados-infantis
25;Bota Infantil Grugui Marrom ;1002401938;39.99;moda;calçados-infantis
26;Chinelo Infantil Ipanema Clip Rosa ;1002104221;9.99;moda;calçados-infantis
27;Sandália Infantil Primeiros Passos Menino Kidy Marrom ;100546929;29.99;moda;calçados-infantis
28;Pantufa Sapatinho Infantil Bebe Coelhinho Rosa Forrada com Velcro ;1002671037;33.90;moda;calçados-infantis
29;Sandália Infantil Grendene Kids Liga da Justiça Preto ;1002104430;29.99;moda;calçados-infantis
30;Sandália Infantil Grendene Kids Princesas Bolsa Azul ;1002103734;39.99;moda;calçados-infantis
31;Sandália Infantil Grendene Kids Princesas Bolsa Vermelho ;1002103724;39.99;moda;calçados-infantis
32;Babuche Infantil Patrulha Canina Azul ;1002712456;49.99;moda;calçados-infantis
33;Tênis Ollie Civic Borracha,Lona Azul ;1002103389;39.99;moda;calçados-infantis
34;Tênis Ollie Iate Indy Borracha,Tecido Azul ;1002103328;39.99;moda;calçados-infantis
35;Rasteira Infantil Grendene Kids Space Jam Lilás ;100511060;19.99;moda;calçados-infantis
